time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170111T090708,158.8,3102,164028,158.9,6143,332965
20170111T090708,158.8,2804,163730,158.9,6143,332965
20170111T090708,158.8,2679,163605,158.9,6143,332965
20170111T090708,158.8,1804,162730,158.9,6143,332965
20170111T090708,158.8,1504,162430,158.9,6143,332965
20170111T090708,158.8,476,161402,158.9,6143,332965
20170111T090708,158.8,67,160993,158.9,6143,332965
20170111T090708,158.7,16166,160926,158.9,6143,332965
20170111T090708,158.7,16166,160926,158.8,700,333665
20170111T090708,158.7,15566,160326,158.8,700,333665
20170111T090708,158.7,15566,160326,158.8,7,332972
20170111T090708,158.7,15259,160019,158.8,7,332972
20170111T090708,158.7,15259,160019,158.9,6143,332965
20170111T090708,158.8,693,160712,158.9,6143,332965
20170111T090708,158.8,693,160712,158.9,6655,333477
20170111T090708,158.8,217,159985,158.9,6655,334077
20170111T090708,158.7,15566,159768,158.9,6655,333908
20170111T090708,158.7,15566,159768,158.8,264,334172
20170111T090708,158.7,15566,159768,158.8,398,334306
20170111T090708,158.7,15259,159461,158.8,398,334306
20170111T090715,158.7,15259,159461,158.8,134,333833
20170111T090715,158.7,15259,159461,158.9,6446,333699
20170111T090715,158.7,15259,159973,158.9,5934,333187
20170111T090715,158.8,596,160569,158.9,5934,333188
20170111T090715,158.8,596,161476,158.9,6103,333357
20170111T090718,158.8,1866,162746,158.9,6103,333357
20170111T090718,158.8,2040,162746,158.9,6103,333357
20170111T090720,158.8,2040,162826,158.9,5112,332366
20170111T090720,158.8,2040,162826,158.9,4312,331566
20170111T090722,158.8,1444,162230,158.9,4312,331566
